,ISIN number,Bloomberg Ticker,Activ Ticker,Last Price,Current % Mkt Cap,Projected % Mkt Cap,Current PFF Shares,Projected PFF Shares,Difference
62,US0605056250,BML H Pfd,BMLpH,20.86,0.08604,0.08649,576483.0,579498.0,3015.0
63,US0605058157,BAC E Pfd,BACpE,20.92,0.0904,0.09088,603958.0,607165.0,3207.0
64,US0605055831,BML L Pfd,BMLpL,20.84,0.12007,0.1207,805261.0,809487.0,4226.0
65,US06055H6080,BAC P Pfd,BACpP,18.74,0.2355,0.23674,1756392.0,1765640.0,9248.0
66,US06055H8060,BAC Q Pfd,BACpQ,18.85,0.33699,0.33876,2498652.0,2511776.0,13124.0
67,US06055H4002,BAC O Pfd,BACpO,19.5,0.29441,0.29596,2110173.0,2121283.0,11110.0
68,US06055H8714,BAC S Pfd,BACpS,21.1,0.20258,0.20364,1341882.0,1348903.0,7021.0
69,US06055H2022,BAC N Pfd,BACpN,22.59,0.40665,0.40879,2515965.0,2529206.0,13241.0
70,US06053U6010,BAC M Pfd,BACpM,23.95,0.46037,0.4628,2686591.0,2700772.0,14181.0
71,US0605051954,BAC K Pfd,BACpK,24.9,0.29195,0.29349,1638737.0,1647381.0,8644.0
72,US0605052291,BAC B Pfd,BACpB,25.06,0.46667,0.46913,2602729.0,2616449.0,13720.0
73,US0605051798,MER K Pfd,MERpK,25.51,0.36948,0.37143,2024327.0,2035010.0,10683.0
74,US0605056821,BAC L Pfd,BACpL,1223.98,1.30174,1.3086,148645.0,149428.0,783.0
75,US1170436042,BC C Pfd,BCpC,25,0.12351,0.12593,690498.0,704027.0,13529.0
76,US1170434062,BC A Pfd,BCpA,25.35,0.10074,0.10271,555423.0,566285.0,10862.0
77,US1170435051,BC B Pfd,BCpB,25.67,0.06892,0.07027,375249.0,382599.0,7350.0
78,US0758874061,BDXB Pfd,BDXB,48.98,0.78936,0.80479,2252457.0,2296487.0,44030.0
79,US11259P1093,BEPH Pfd,BEPH,16.81,0.12638,0.12885,1050777.0,1071314.0,20537.0
80,US11259P2083,BEPI Pfd,BEPI,17.76,0.09919,0.10113,780594.0,795861.0,15267.0
81,BMG162582313,BEP A Pfd,BEPpA,20.5626,0.08834,0.09006,600454.0,612145.0,11691.0
82,US8043958797,BFS E Pfd,BFSpE,23.06,0.05449,0.05555,330261.0,336686.0,6425.0
83,US10922N8891,BHFAM Pfd,BHFAM,17.8,0.13382,0.13644,1050754.0,1071326.0,20572.0
84,US10922N7075,BHFAN Pfd,BHFAN,19.9,0.24579,0.25059,1726280.0,1759992.0,33712.0
85,US10922N2027,BHFAL Pfd,BHFAL,24.775,0.19993,0.20384,1127884.0,1149942.0,22058.0
86,US10922N3017,BHFAP Pfd,BHFAP,25.33,0.23106,0.23557,1274940.0,1299825.0,24885.0
87,US10922N5095,BHFAO Pfd,BHFAO,25.74,0.22246,0.2268,1207935.0,1231501.0,23566.0
88,US10482B2007,BHR B Pfd,BHRpB,16.8,0.02818,0.02873,234440.0,239016.0,4576.0
89,US11276B1098,BIPH Pfd,BIPH,19.4201,0.10429,0.10633,750570.0,765252.0,14682.0
90,BMG162522756,BIP B Pfd,BIPpB,18.9958,0.08161,0.0832,600463.0,612161.0,11698.0
91,USG162522670,BIP A Pfd,BIPpA,19.62,0.08429,0.08594,600450.0,612204.0,11754.0
92,US05554M1009,BIPI Pfd,BIPI,19.3223,0.12451,0.12695,900628.0,918278.0,17650.0
93,US11272B1035,BAMI Pfd,BAMI,target not permissioned,0.08646,0.08815,,,
94,US11271L1026,BAMH Pfd,BAMH,source not found,0.16213,0.1653,,,
95,US0625452075,BOH A Pfd,BOHpA,19.0639,0.07371,0.07515,540399.0,550957.0,10558.0
